error list,fixes
"Tag: (2050,0020) CS 1 Presentation LUT Shape : Empty attribute (no value) Type 1 Required Element per module DXImage","Tag: (2050,0020) CS 1 Presentation LUT Shape : Empty attribute (no value) Type 1 Required Element per module DXImage %%% FIX IS - For Digital Mammography X-Ray Image Storage - For Presentation) - check tag (0028,0004) - if MONOCHROME2, set_tag (2050,0020) <IDENTITY>, if MONOCHROME1, set_tag (2050,0020) <INVERSE> %%%"
"Tag: (3004,0050) SQ 1 DVH Sequence : Missing Tag : Type 1 Required Element : RTDVH",
"Tag: (3004,000c) DS 2-n Grid Frame Offset Vector : is conditional and is present when condition not satisfied : per RTDose module","Tag: (3004,000c) DS 2-n Grid Frame Offset Vector : is conditional and is present when condition not satisfied : per RTDose module %%% FIX IS - For RTDOSE, If tag (0028,0009) is not present, it should be added. For RTDOSE only set_tag <(0028,0009)> <798724>. That value is the decimal equivalent of the 8 digit hex number 000c3004. You are setting the tag to indicate that tag 3004,000c is the tag that contains the Frame Increment Pointer. %%%"
"Tag: (300a,00d6) DS 1 Wedge Factor : Missing Tag : Type 2 Required Element : RTBeams","Tag: (300a,00d6) DS 1 Wedge Factor : Missing Tag : Type 2 Required Element : RTBeams %%% FIX IS - Ignore because Posda cannot make the necessary edit. The edit should be set_tag <(300a,00b0)[<0>](300a,00d1)[<1>](300a,00d6)>  - check to see if Posda has been updated to make this kind of edit%%%"
"Tag: (300e,0008) PN 1 Reviewer Name : is conditional and is present when condition not satisfied : per Approval module","Tag: (300e,0008) PN 1 Reviewer Name : is conditional and is present when condition not satisfied : per Approval module %%% FIX IS - Delete if Reviewer Name is not needed. Otherwise correct DICOM so necessary condition is satisfied %%%"
"Tag: (3006,002c) DS 1 ROI Volume : Invalid Value for VR : nan : Character invalid for this VR : 'n' (0x6e)","Tag: (3006,002c) DS 1 ROI Volume : Invalid Value for VR : nan : Character invalid for this VR : 'n' (0x6e) %%% FIX IS - empty_tag <(3006,002c)> <> <> %%%"
"Unrecognized public tag: (0008,0202) ","Unrecognized public tag: (0008,0202) %%% FIX IS - delete_tag <(0008,0202)>  %%%"
"Unrecognized public tag: (0010,9910) ","Unrecognized public tag: (0010,9910) %%% FIX IS - delete_tag <(0010,9910)> %%%"
"Unrecognized public tag: (0018,0061)","Unrecognized public tag: (0018,0061) %%% FIX IS - delete_tag <(0018,0061)> %%%"
"Unrecognized public tag: (0018,9445) ","Unrecognized public tag: (0018,9445) %%% FIX IS - delete_tag <(0018,9445)> %%%"
"Value invalid for this VR - (0x0040,0x0254) LO Performed Procedure Step Description","Value invalid for this VR - (0x0040,0x0254) LO Performed Procedure Step Description %%% FIX IS -
A.  Id that the value in this tag exists elsewhere in the image header (note: open the series in Quince and check the image header) then delete this tag 
B.  delete_tag <(0040,0254)> <> <>   %%%"
"Value invalid for this VR - (0x0008,0x3012) UI Radiopharmaceutical Administration Event UID  UI","Value invalid for this VR - (0x0008,0x3012) UI Radiopharmaceutical Administration Event UID  UI %%% FIX IS - 
A.    There is that there is a trailing “.” at the end of the UID.  You need to remove the trailing “.”.  
So figure out if the tag (0008,3012) is in a sequence like (0054,0016) and then set the tag appropriately
set_tag <(0008,3012)> <1.3.12.2.1107.5.1.4.11117> <>
set_tag <(0054,0016)[0](0008,3012)> <1.3.12.2.1107.5.1.4.11117> <>"
Invalid Value Representation Type 3 Optional Element,"Invalid Value Representation Type 3 Optional Element %%% FIX IS - this tag has an invalid value not allowed for the tag's VR. You can look at innolitics for correct possible values. If multiframe ultrasound, you can ignore. This error may also appear with error: ""Invalid Value Representation DS (IS Required). If so, Posda may have already coerced the tag to the correct VR. Check the bottom of the dump to see if has been coerced and this error can be ignored. %%%"
Invalid Value Representation DS (IS Required) Element,"Invalid Value Representation DS (IS Required) Element %%% FIX IS - this tag has an invalid value not allowed for the tag's VR. You can look at innolitics for correct possible values. If multiframe ultrasound, then the value has been coerced to IS.  Check the dump (at the bottom) to see if Posda has coerced it from DS to IS. If this has been done, you can ignore the error. %%%"
